patient_id,admission_date,species,common_name,found_city,found_county,status,final_date
2022-0767,7/9/22,CEWA,Cedar waxwing,Bakersville,Mitchell,R,10/14/22
2022-0768,7/9/22,MODO,Mourning dove,Valley Crucis,Watauga,D24,7/9/22
2022-0769,7/9/22,EABL,Eastern bluebird,,NA,DOA,7/9/22
2022-0770,7/9/22,EABL,Eastern bluebird,,NA,DOA,7/9/22
2022-0771,7/9/22,ODVI,White-tailed deer,,NA,EOA,7/9/22
2022-0772,7/9/22,COYE,Common yellowthroat,,NA,D24,7/9/22
2022-0773,7/10/22,BRTH,Brown thrasher,Brevard,Transylvania,R,7/21/22
2022-0774,7/11/22,SYFL,Eastern cottontail,Vilas,Watauga,D24,7/11/22
2022-0775,7/11/22,INBU,Indigo bunting,Boone,Watauga,D24,7/12/22
2022-0776,7/10/22,RTHU,Ruby-throated hummingbird,Banner Elk,Avery,D24,7/10/22
2022-0777,5/23/22,DIVI,Virginia opossum,,NA,R,8/1/22
2022-0778,5/23/22,DIVI,Virginia opossum,,NA,R,8/1/22
2022-0779,5/23/22,DIVI,Virginia opossum,,NA,R,8/1/22
2022-0780,5/23/22,DIVI,Virginia opossum,,NA,R,8/1/22
2022-0781,5/23/22,DIVI,Virginia opossum,,NA,R,8/1/22
2022-0782,7/11/22,AMRO,American robin,Banner Elk,Avery,D,7/11/22
2022-0783,7/11/22,DIVI,Virginia opossum,Marion,McDowell,DOA,7/11/22
2022-0784,7/11/22,ODVI,White-tailed deer,Blowing Rock,Watauga,T,7/13/22
2022-0785,7/11/22,RSHA,Red-shouldered hawk,Linville,Avery,T,8/15/22
2022-0786,7/11/22,MODO,Mourning dove,Burnsville,Yancey,E,2/8/23
2022-0787,7/11/22,HOFI,House finch,,NA,D,7/13/22
2022-0788,7/11/22,TUTI,Tufted titmouse,,NA,D24,7/12/22
2022-0789,7/11/22,CHSW,Chimney swift,,NA,R,7/30/22
2022-0790,7/11/22,CHSW,Chimney swift,,NA,R,8/3/22
2022-0791,7/11/22,CHSW,Chimney swift,,NA,R,7/30/22
2022-0792,7/11/22,DEJU,Dark Eyed Junco,Banner Elk,Avery,R,8/7/22
